Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Aceh,2020,4.0,2.0,95.0,5.5,113.7,54.68,Moderate
Aceh,2021,5.5,4.5,103.0,5.0,83.9,64.13,High
Aceh,2022,5.0,5.5,94.3,5.5,123.4,65.85,High
Aceh,2023,5.0,5.5,95.0,5.5,104.0,66.64,Moderate
Bali,2020,4.0,2.5,91.0,5.5,113.7,56.98,Moderate
Bali,2021,5.5,4.5,82.0,5.5,100.2,59.8,Moderate
Bali,2022,5.0,5.5,98.0,5.5,116.9,65.59,High
Bali,2023,5.0,5.5,100.0,5.5,117.0,67.39,Moderate
Bangka Belitung Islands,2021,4.5,4.5,101.6,5.5,104.3,61.81,High
Bangka Belitung Islands,2022,5.0,5.5,85.6,5.5,98.6,63.08,High
Bangka Belitung Islands,2023,5.0,6.0,93.0,5.5,109.0,66.17,Moderate
Bangka Belitung Islands,2020,4.5,2.0,98.0,5.5,113.7,57.03,Moderate
Banten,2020,4.5,2.5,98.0,5.5,113.7,58.77,Moderate
Banten,2021,5.0,4.5,100.2,5.5,110.0,61.78,High
Banten,2022,5.0,5.5,97.4,5.5,111.2,65.7,High
Banten,2023,5.5,5.5,93.0,5.0,114.0,66.23,Moderate
Bengkulu,2020,4.0,2.5,111.0,5.5,113.7,58.0,Moderate
Bengkulu,2021,4.5,4.5,98.2,5.5,123.0,62.14,High
Bengkulu,2022,5.0,5.5,92.6,5.5,116.8,64.16,High
Bengkulu,2023,4.5,5.0,106.0,5.0,128.0,64.54,Moderate
Central Java,2020,4.5,2.5,108.0,5.5,113.7,61.88,High
Central Java,2021,5.5,4.5,124.2,5.5,126.9,68.3,High
Central Java,2023,5.5,6.0,110.0,5.5,129.0,71.31,Moderate
Central Kalimantan,2020,4.0,2.5,89.0,5.5,113.7,56.04,Moderate
