Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Aceh,0.0,0.3999999999999999,0.1111111111111111,0.5072463768115943,0.6666666666666665,0.523725834797891,0.36444444444444435,Moderate
Aceh,0.33333333333337123,1.0,0.6666666666666667,0.6231884057971014,0.33333333333333304,0.0,0.6875213675213674,High
Aceh,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.4971014492753624,0.6666666666666665,0.6942003514938486,0.7463247863247862,High
Aceh,1.0,0.7999999999999998,0.8888888888888888,0.5072463768115943,0.6666666666666665,0.353251318101933,0.7733333333333334,Moderate
Bali,0.0,0.3999999999999999,0.22222222222222227,0.4492753623188407,0.6666666666666665,0.523725834797891,0.4430769230769229,Moderate
Bali,0.33333333333337123,1.0,0.6666666666666667,0.3188405797101449,0.6666666666666665,0.2864674868189807,0.5394871794871796,Moderate
Bali,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.5507246376811595,0.6666666666666665,0.5799648506151143,0.7374358974358977,High
Bali,1.0,0.7999999999999998,0.8888888888888888,0.5797101449275363,0.6666666666666665,0.5817223198594021,0.798974358974359,Moderate
Bangka Belitung Islands,0.33333333333337123,0.5999999999999999,0.6666666666666667,0.6028985507246377,0.6666666666666665,0.35852372583479775,0.6082051282051282,High
Bangka Belitung Islands,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.3710144927536231,0.6666666666666665,0.25834797891036887,0.6516239316239316,High
Bangka Belitung Islands,1.0,0.7999999999999998,1.0,0.4782608695652174,0.6666666666666665,0.4411247803163443,0.7572649572649572,Moderate
Bangka Belitung Islands,0.0,0.5999999999999999,0.1111111111111111,0.5507246376811595,0.6666666666666665,0.523725834797891,0.44478632478632485,Moderate
Banten,0.0,0.5999999999999999,0.22222222222222227,0.5507246376811595,0.6666666666666665,0.523725834797891,0.5042735042735043,Moderate
Banten,0.33333333333337123,0.7999999999999998,0.6666666666666667,0.582608695652174,0.6666666666666665,0.4586994727592266,0.6071794871794873,High
Banten,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.5420289855072465,0.6666666666666665,0.4797891036906854,0.7411965811965815,High
Banten,1.0,1.0,0.8888888888888888,0.4782608695652174,0.33333333333333304,0.5289982425307556,0.7593162393162394,Moderate
Bengkulu,0.0,0.3999999999999999,0.22222222222222227,0.7391304347826088,0.6666666666666665,0.523725834797891,0.47794871794871785,Moderate
Bengkulu,0.33333333333337123,0.5999999999999999,0.6666666666666667,0.5536231884057973,0.6666666666666665,0.6871704745166958,0.6194871794871797,High
Bengkulu,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.47246376811594193,0.6666666666666665,0.578207381370826,0.6885470085470087,High
Bengkulu,1.0,0.5999999999999999,0.7777777777777779,0.6666666666666666,0.33333333333333304,0.775043936731107,0.7015384615384619,Moderate
Central Java,0.0,0.5999999999999999,0.22222222222222227,0.6956521739130436,0.6666666666666665,0.523725834797891,0.6105982905982907,High
Central Java,0.33333333333337123,1.0,0.6666666666666667,0.9304347826086957,0.6666666666666665,0.7557117750439368,0.8300854700854701,High
Central Java,1.0,1.0,1.0,0.7246376811594203,0.6666666666666665,0.7926186291739894,0.9329914529914531,Moderate
Central Kalimantan,0.0,0.3999999999999999,0.22222222222222227,0.42028985507246375,0.6666666666666665,0.523725834797891,0.410940170940171,Moderate
Central Kalimantan,0.33333333333337123,0.5999999999999999,0.5555555555555556,0.772463768115942,0.33333333333333304,0.5061511423550087,0.5593162393162396,Moderate
Central Kalimantan,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.5304347826086956,0.33333333333333304,0.33216168717047445,0.6769230769230772,High
Central Kalimantan,1.0,0.7999999999999998,0.8888888888888888,0.4492753623188407,0.6666666666666665,0.4586994727592266,0.74974358974359,Moderate
Central Sulawesi,0.0,0.19999999999999996,0.1111111111111111,0.33333333333333337,0.6666666666666665,0.523725834797891,0.19931623931623932,Moderate
Central Sulawesi,0.33333333333337123,0.5999999999999999,0.5555555555555556,0.3623188405797101,0.0,0.22847100175746915,0.4208547008547008,Moderate
Central Sulawesi,0.6666666666667425,0.3999999999999999,0.6666666666666667,0.4,0.33333333333333304,0.49033391915641467,0.4389743589743589,Moderate
Central Sulawesi,1.0,0.5999999999999999,0.8888888888888888,0.42028985507246375,0.6666666666666665,0.37082601054481534,0.5900854700854703,Moderate
East Java,0.0,0.7999999999999998,0.22222222222222227,0.8115942028985507,0.6666666666666665,0.523725834797891,0.6817094017094019,High
East Java,0.33333333333337123,1.0,0.6666666666666667,0.6086956521739132,0.6666666666666665,0.5043936731107204,0.68991452991453,High
East Java,1.0,0.7999999999999998,0.8888888888888888,0.7971014492753624,1.0,0.775043936731107,0.8806837606837608,Moderate
East Kalimantan,0.0,0.7999999999999998,0.22222222222222227,0.6666666666666666,0.6666666666666665,0.523725834797891,0.6174358974358976,High
East Kalimantan,0.33333333333337123,1.0,0.6666666666666667,0.4608695652173912,0.6666666666666665,0.5096660808435851,0.7121367521367521,High
East Kalimantan,1.0,0.7999999999999998,0.8888888888888888,0.7101449275362318,1.0,0.6871704745166958,0.8355555555555556,Moderate
East Nusa Tenggara,0.0,0.19999999999999996,0.22222222222222227,0.46376811594202894,0.6666666666666665,0.523725834797891,0.40752136752136736,Moderate
East Nusa Tenggara,0.33333333333337123,0.7999999999999998,0.6666666666666667,0.5188405797101449,0.6666666666666665,0.5342706502636201,0.6488888888888891,High
East Nusa Tenggara,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.4347826086956522,0.6666666666666665,0.7469244288224957,0.7117948717948721,High
East Nusa Tenggara,1.0,1.0,0.7777777777777779,0.7391304347826088,0.6666666666666665,0.6344463971880492,0.8133333333333335,Moderate
Gorontalo,0.0,0.19999999999999996,0.1111111111111111,0.42028985507246375,0.6666666666666665,0.523725834797891,0.25094017094017085,Moderate
Gorontalo,0.33333333333337123,0.5999999999999999,0.44444444444444436,0.5246376811594203,0.33333333333333304,0.5079086115992968,0.4294017094017093,Moderate
Gorontalo,0.6666666666667425,0.3999999999999999,0.6666666666666667,0.6000000000000002,0.0,0.5764499121265376,0.5025641025641026,Moderate
Gorontalo,1.0,0.7999999999999998,0.6666666666666667,0.8840579710144928,0.6666666666666665,0.8277680140597536,0.7032478632478636,Moderate
Indonesia,0.0,0.3999999999999999,0.1111111111111111,0.5217391304347826,0.6666666666666665,0.523725834797891,0.40068376068376077,Moderate
Indonesia,0.6666666666667425,0.7999999999999998,0.7777777777777779,0.5507246376811595,0.6666666666666665,0.5817223198594021,0.6796581196581197,High
Indonesia,1.0,0.7999999999999998,0.8888888888888888,0.6811594202898551,0.6666666666666665,0.5817223198594021,0.7777777777777777,Moderate
Jakarta,0.0,0.5999999999999999,0.22222222222222227,0.8405797101449276,0.6666666666666665,0.523725834797891,0.5750427350427354,High
Jakarta,0.33333333333337123,0.5999999999999999,0.6666666666666667,0.6028985507246377,0.6666666666666665,0.4182776801405974,0.6232478632478631,High
Jakarta,0.6666666666667425,1.0,0.8888888888888888,0.7594202898550725,0.6666666666666665,0.5325131810193322,0.8441025641025641,High
Jakarta,1.0,1.0,0.7777777777777779,0.9565217391304349,0.6666666666666665,0.7047451669595781,0.8861538461538463,Moderate
Jambi,0.0,0.3999999999999999,0.1111111111111111,0.5217391304347826,0.6666666666666665,0.523725834797891,0.35282051282051285,Moderate
Jambi,0.33333333333337123,0.5999999999999999,0.5555555555555556,0.41449275362318827,0.33333333333333304,0.24428822495606317,0.4615384615384617,Moderate
Jambi,0.6666666666667425,0.7999999999999998,0.7777777777777779,0.555072463768116,0.33333333333333304,0.5448154657293496,0.6745299145299146,High
Jambi,1.0,0.7999999999999998,0.8888888888888888,0.7536231884057972,0.6666666666666665,0.8101933216168717,0.8232478632478633,Moderate
Lampung,0.0,0.5999999999999999,0.22222222222222227,0.7391304347826088,0.6666666666666665,0.523725834797891,0.5969230769230767,High
Lampung,0.33333333333337123,0.7999999999999998,0.6666666666666667,0.3884057971014493,0.6666666666666665,0.30404217926186283,0.6297435897435899,High
Lampung,0.6666666666667425,0.7999999999999998,0.8888888888888888,0.5231884057971014,0.6666666666666665,0.39894551845342696,0.6895726495726495,High
Lampung,1.0,0.7999999999999998,0.8888888888888888,0.4927536231884059,0.6666666666666665,0.4059753954305798,0.7644444444444445,Moderate
Maluku,0.0,0.19999999999999996,0.22222222222222227,0.4492753623188407,0.6666666666666665,0.523725834797891,0.30358974358974344,Moderate
Maluku,0.33333333333337123,0.5999999999999999,0.44444444444444436,0.31594202898550716,0.0,0.2741652021089629,0.3288888888888888,Moderate
Maluku,0.6666666666667425,0.3999999999999999,0.7777777777777779,0.33913043478260885,0.33333333333333304,0.6449912126537782,0.43965811965811974,Moderate
Maluku,1.0,0.5999999999999999,0.7777777777777779,0.5362318840579711,0.6666666666666665,0.7047451669595781,0.6447863247863248,Moderate
North Kalimantan,0.0,0.19999999999999996,0.0,0.34782608695652184,0.6666666666666665,0.523725834797891,0.12615384615384606,Moderate
North Kalimantan,0.33333333333337123,0.5999999999999999,0.44444444444444436,0.5144927536231884,0.0,0.4833040421792618,0.41367521367521354,Moderate
North Kalimantan,0.6666666666667425,0.5999999999999999,0.7777777777777779,0.41159420289855075,0.6666666666666665,0.5325131810193322,0.5702564102564103,High
North Kalimantan,1.0,1.0,0.8888888888888888,0.7681159420289855,0.6666666666666665,0.5114235500878734,0.864615384615385,Moderate
North Maluku,0.0,0.3999999999999999,0.1111111111111111,0.5507246376811595,0.6666666666666665,0.523725834797891,0.3846153846153846,Moderate
North Maluku,0.33333333333337123,0.5999999999999999,0.5555555555555556,0.617391304347826,0.0,0.4428822495606324,0.5466666666666664,Moderate
North Maluku,0.6666666666667425,0.5999999999999999,0.6666666666666667,0.7594202898550725,0.6666666666666665,1.0,0.6256410256410256,High
North Maluku,1.0,0.7999999999999998,0.7777777777777779,0.0,0.6666666666666665,0.8629173989455183,0.7480341880341883,Moderate
North Sulawesi,0.0,0.19999999999999996,0.1111111111111111,0.2898550724637682,0.6666666666666665,0.523725834797891,0.13709401709401692,Moderate
North Sulawesi,0.33333333333337123,0.19999999999999996,0.44444444444444436,0.35942028985507257,0.0,0.3760984182776801,0.29230769230769216,Moderate
North Sulawesi,0.6666666666667425,0.3999999999999999,0.6666666666666667,0.401449275362319,0.33333333333333304,0.6151142355008785,0.39521367521367523,Moderate
North Sulawesi,1.0,0.7999999999999998,0.7777777777777779,0.6376811594202899,0.6666666666666665,0.7047451669595781,0.6970940170940172,Moderate
North Sumatra,0.0,0.19999999999999996,0.1111111111111111,0.5072463768115943,0.6666666666666665,0.523725834797891,0.3107692307692307,Moderate
